sentence_id	sentence	sentence_domain	source
04f11fdd6cdc0e4b340713b215b746d553285a3077cf8a96d75035b5739f8fd4	Me wie m’adwuma yɛ no, mekɔ guare.		https://www.leadersproject.org/2018/02/12/akuapem-twi-all-about-me-books/
0bb20037ac82b944985cedd91b25440d0000c836509944005715f419406241b5	Ɔsono baako rekɔnom nsuo.	general,nature_environment	https://www.africanstorybook.org/reader.php?id=18219
2363ef2cde5d74809bd58c5fa9a9b76bdb59e21d3734682b35851055e125e647	Me siesie me ho wie no, me yɛɛ sukuu - efie dwuma die.		https://www.leadersproject.org/2018/02/12/akuapem-twi-all-about-me-books/
2912f09ec77f50364f450940628b71f186f20e20eaaf7593f5092dce5992d2d7	Sohori mmienu rekɔnom nsuo.	nature_environment	https://www.africanstorybook.org/reader.php?id=18219
444dc213ab1a34c84971ff16ff435c3254384552db9f629fd9cfa1c5afefa446	Me wie damu adwuma no me kɔ dae.		https://www.leadersproject.org/2018/02/12/akuapem-twi-all-about-me-books/
53043e303d933e063d342eb1720482da4d0471e54a778e9c81293ab610ba1208	Mpomkyerɛni nnwɔtwe ne mpataa nkron redware wɔ nsuo no mu.	general,nature_environment	https://www.africanstorybook.org/reader.php?id=18219
5427c1cac7721b20e11cc351bb2650ed67acabb218bb7cb0f987682ae1b925ab	Yɛ didi wie no mede samina ne nsu hohoro nkyensen no mu.		https://www.leadersproject.org/2018/02/12/akuapem-twi-all-about-me-books/
65f529077cd3329a648f33c9c08ad7cc28726ec33190318d042ae9546304261e	Na yɛ didi bomu.		https://www.leadersproject.org/2018/02/12/akuapem-twi-all-about-me-books/
69ca904411cf5b461e3ecd073603f0481477b8ea72dbc24f21e8120a57de50aa	Me yi me sukuu atade hyɛ efie atade.	general	https://www.leadersproject.org/2018/02/12/akuapem-twi-all-about-me-books/
72d68c77671754386e7ad5d5e63c5776d01f7ae3467637dabb503cb0c63bf231	Me boa me na ma no noa anwumere aduan.	general	https://www.leadersproject.org/2018/02/12/akuapem-twi-all-about-me-books/
825504ed2fa5f3fd1a21b1cf061f64f6d9f38bce403c2c476a89ae3c69c70fa6	Gyata baako bobom. Ɔno nso pɛsɛ ɔnom nsuo. Hwan na ɔsuro gyata no?	nature_environment,general	https://www.africanstorybook.org/reader.php?id=18219
98766745410abf03f67241c6ee827273fd592a2da6dab11c57b3fa6e81ce9cf5	Awansan nnum ne kɔkɔte nsia rekɔ nsuo no ho.	nature_environment,general	https://www.africanstorybook.org/reader.php?id=18219
a0e8c27902b83031dcd11fef4bb5971e76cb2f630349e5fa224fc7699d2d7e2d	Ɛkoɔ mmiɛnsa ne nnomma nnan nso rekɔ nom nsuo.	nature_environment	https://www.africanstorybook.org/reader.php?id=18219
ad45127c102522b356095a6ee4e1f5567d5d103162e9d1171d2c516e872091d9	Wo ho te sɛn?	healthcare	Wo ho te sɛn?
b789a8310dc9c4e270577d8afccd485403c1fd5623dbf819ab5c338f7768f363	Sibra nson de mmirika rekɔ nsuo no ho.	general,nature_environment	https://www.africanstorybook.org/reader.php?id=18219
b93f8b4ff865b305f7739a1c7e9a87a8359b1c62d7f400aa2bca2050b129544f	Trích dẫn với một liên kết hoặc tên đầy đủ của tác phẩm.		common voice
c3d570d6aa4bddfd2162ac841adec181671dcd36d971901107f4bc841e381449	Cách để tôi trích dẫn?		common voice
c944d853f0d44c070c888216132c91f867a63ee24369caaffbe476adb003c9e1	Ɔsono baako ne gyata no renom nsuo.	nature_environment,general	https://www.africanstorybook.org/reader.php?id=18219
cc1a257ce7f4d5882fe4ea4c8fd270c72967219be8849935255521364ed53787	Bere a mefi sukuu bae no, me kyea me maame	general	https://www.leadersproject.org/2018/02/12/akuapem-twi-all-about-me-books/
